language,message_key,text
uk,nav_home,Головна
uk,nav_partners,Партнери
uk,nav_top,TOP
uk,friends,Друзі
uk,top_activated,TOP ПРОГРАМА АКТИВНА
uk,link_connected,Лінка підключена
uk,input_link_placeholder,Встав свою 7% лінку тут...
uk,save,Зберегти
uk,how_to_get_link,Де взяти лінку?
uk,unlock_top_title,Розблокувати TOP статус
uk,unlock_top_subtitle,Запроси 5 друзів, щоб розблокувати ексклюзивні винагороди
uk,invited,запрошено
uk,goal,ЦІЛЬ
uk,invite_earn,ЗАПРОШУЙ ТА ЗАРОБЛЯЙ
uk,potential_earnings,Твій потенційний заробіток
uk,user_count_1,1 ЮЗЕР
uk,user_count_10,10 ЮЗЕРІВ
uk,user_count_100,100 ЮЗЕРІВ
uk,estimates_disclaimer,Оцінки базуються на середній активності залучених користувачів.
uk,partners_title,Партнери
uk,partners_subtitle,Перевірені боти та заробіток зірок за дії
uk,top_bots_title,TOP Боти
uk,top_bots_subtitle,Отримуй в x3-x7 більше зірок
uk,browse_btn,Переглянути
uk,stars_suffix,+ ЗІРКИ
uk,x7_badge,⚡ x7
uk,launch_btn,Запустити ↗
uk,open_btn,Відкрити ↗
uk,estimated_share,{{percent}}% частка
uk,about_earnhub,Про EarnHub
uk,footer_about_text,"EarnHub — це агрегатор реферальних програм, що пропонує бонуси за ріст мережі. Отримуйте вигоду від 7% монетизації Telegram та максимізуйте прибутки через наших партнерських ботів."
uk,footer_disclaimer,Відмова від відповідальності: EarnHub не є фінансовою установою.
uk,terms_of_use,Умови використання
uk,privacy_policy,Політика конфіденційності
uk,support,Підтримка
uk,badge_7_path,7% шлях розпочато
uk,badge_top_member,TOP учасник
uk,badge_super_sharer,Супер поширювач
uk,your_earnings,Ваш заробіток
uk,program_active,✅ Програма 7% активна
uk,program_inactive,❌ Програма 7% неактивна
uk,achievements,Досягнення
uk,unlock_top,Розблокувати TOP
uk,to_pro,До Pro
uk,to_hub,До Hub
uk,max_level,Максимальний рівень
uk,started_path,47 людей почали 7% шлях
uk,top_opened_today,TOP відкривали 19 разів сьогодні
uk,partners_clicked_most,Найчастіше клікають партнерів
uk,share_popup_title,Поділися лінкою
uk,next_btn,Далі
uk,start_btn,Почати
uk,enter_wallet_error,Введіть адресу гаманця
uk,invalid_wallet_format,Невірний формат адреси гаманця
uk,wallet_saved_success,✅ Гаманець збережено успішно!
uk,wallet_save_error,❌ Помилка збереження: 
uk,top_locked_title,TOP заблоковано
uk,top_locked_subtitle,Запроси ще {{count}} друзів, щоб розблокувати TOP партнерів або купи доступ.
uk,btn_unlock_top,Розблокувати за {{price}} зірок
uk,top_profits_title,ТОП партнери
uk,top_profits_subtitle,Найвигідніші пропозиції тижня
uk,no_partners_found,Партнерів не знайдено
uk,no_top_bots,TOP ботів поки немає
uk,ton_connect_help,TON Connect — це офіційний протокол для підключення TON гаманців у Telegram Mini Apps. Він дозволяє безпечно підключати гаманці без передачі приватних ключів.
uk,starter,Новачок
uk,pro,Профі
uk,hub,Хаб
uk,creating_invoice,Створюємо рахунок...
uk,top_unlocked,✅ TOP розблоковано!
uk,payment_cancelled,Оплата скасована
uk,payment_error,❌ Помилка оплати
uk,saving,Збереження...
uk,link_copied,✅ Лінк скопійовано!
uk,copy_failed,Помилка копіювання
uk,bot_id_missing,Помилка: Bot ID не знайдено
uk,link_missing,Реферальна лінка відсутня
uk,copied,✅ Скопійовано!
uk,connect_telegram_wallet,Підключити гаманець у Telegram
uk,choose_other_wallet,Обрати інший застосунок
uk,view_all_wallets,Всі гаманці
uk,wallet_payouts_info,Потрібно лише для майбутніх виплат
uk,wallet_no_withdrawals,Ніколи не списуємо кошти
uk,how_to_find_address,Як знайти адресу гаманця:
uk,instruction_step_1,Відкрий свій TON гаманець (Tonkeeper, MyTonWallet, Tonhub)
uk,instruction_step_2,Знайди розділ "Receive" або "Отримати"
uk,instruction_step_3,Скопіюй адресу (починається з EQ, UQ, kQ або 0Q)
uk,wallet_input_label,Адреса TON гаманця:
